Index,fr,en,es
0,"\C[2]Tana la Fillette :\C[0] Bonjour, ça te dirait de nous affronter en combat duo ?","\c[2]Lass Tana:\c[0] Hello, would you like to double battle us?",\C[2]Chica Tana:\C[0] Buenos días. ¿Quieres enfrentarnos en un combate doble?
1,\C[2]Tana la Fillette :\C[0] Tu es très fort\E comme \F[dresseuse§dresseur]...,\c[2]Lass Tana:\c[0] You're a strong trainer...,\C[2]Chica Tana:\C[0] Eres un entrenador muy fuerte
2,\C[2]Tana la Fillette :\C[0] On t'a battu mais pas besoin de repartir au Centre.,\c[2]Lass Tana:\c[0] We won! But there's no need to go back to the Pokémon Center.,\C[2]Chica Tana:\C[0] ¡Ganamos! Pero no necesitas ir al Centro Pokémon.
3,\C[2]Tana la Fillette :\C[0] Viens me parler si tu souhaites nous affronter de nouveau.,\c[2]Lass Tana:\c[0] Talk to me if you want to battle again.,\C[2]Chica Tana:\C[0] Háblame si deseas combatir nuevamente.
4,\C[2]Tana la Fillette :\C[0] Tu veux encore te battre ?,\c[2]Lass Tana:\c[0] Do you want to battle again?,\C[2]Chica Tana:\C[0] ¿Deseas combatir otra vez?
5,\C[2]Tana la Fillette :\C[0] On t'a encore battu mais pas besoin de repartir au Centre.,\c[2]Lass Tana:\c[0] We won again! But there's still no need to go back to the Pokémon Center.,\C[2]Chica Tana:\C[0] ¡Ganamos de nuevo! Y no necesitas ir al Centro Pokémon.
6,"\C[2]Tana la Fillette :\C[0] Pas de problème, je comprends. Reviens me voir si tu changes d'avis.","\c[2]Lass Tana:\c[0] I understand, come back if you change your mind.","\C[2]Chica Tana:\C[0] Entiendo, vuelve si cambias de opinión."
7,"\C[2]Tana la Fillette :\C[0] On en a eu assez, je crois.",\c[2]Lass Tana:\c[0] I think we got enough.,\C[2]Chica Tana:\C[0] Creo que ya tuvimos suficiente.
8,\C[2]Estelle la Fillette :\C[0] Parle à ma soeurette si tu veux te bastonner avec nous.,\c[2]Lass Estelle:\c[0] talk to my sis if you want to battle us., \C[2]Chica Tana:\C[0] Habla con mi hermana si quieres enfrentarnos.
9,"\C[2]Estelle la Fillette :\C[0] Plus de combat, merci.","\c[2]Lass Estelle:\c[0] No more battle, thanks.","\C[2]Chica Tana:\C[0] Suficientes combates, gracias."
